Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAA0-SIG-114,55GAA0-GM-2504:CR-CCC,55GAA0-GM-2504,A60 M1 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-115,55GAA0-GM-2504:CR-CCC,55GAA0-GM-2504,A60 M1 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-116,55GAA0-GM-2504:CR-CCC,55GAA0-GM-2504,A60 M1 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-117,55GAA0-GM-2504:CR-CCC,55GAA0-GM-2504,A60 M1 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-118,55GAA0-MZL-4301:ZL-CRC,55GAA0-MZL-4301,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-119,55GAA0-MZH-4301:ZH-CRC,55GAA0-MZH-4301,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-120,55GAA0-MZL-4302:ZL-CRC,55GAA0-MZL-4302,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-121,55GAA0-MZH-4302:ZH-CRC,55GAA0-MZH-4302,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-122,55GAA0-MZL-4303:ZL-CRC,55GAA0-MZL-4303,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-123,55GAA0-MZH-4303:ZH-CRC,55GAA0-MZH-4303,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-124,55GAA0-MZL-4304:ZL-CRC,55GAA0-MZL-4304,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-125,55GAA0-MZH-4304:ZH-CRC,55GAA0-MZH-4304,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-126,55GAA0-MZL-4305:ZL-CRC,55GAA0-MZL-4305,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-127,55GAA0-MZH-4305:ZH-CRC,55GAA0-MZH-4305,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-128,55GAA0-MP-4302:JT-CRC,55GAA0-MP-4302,Pressure sensor at pneumatic shutter valves power,A,I,P,PT 100,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-129,55GAA0-MP-4302:JT-CRC,55GAA0-MP-4302,Pressure sensor at pneumatic shutter valves output,A,O,P,PT 100,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-130,55GAA0-MP-4301:JT-CRC,55GAA0-MP-4301,Pressure sensor at pneumatic shutter valves power,A,I,P,PT 100,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-131,55GAA0-MP-4301:JT-CRC,55GAA0-MP-4301,Pressure sensor at pneumatic shutter valves output,A,O,P,PT 100,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-132,55GAA0-PL-4401:YTRP-CCC,55GAA0-PL-4401,LO Level,A,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-133,55GAA0-PL-4401:CC-CCC,55GAA0-PL-4401,Relay 1 NO,A,I,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-134,55GAA0-PL-4401:CO-CCC,55GAA0-PL-4401,Relay 1 NC,A,I,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-135,55GAA0-PL-4401:YTRP-CCC,55GAA0-PL-4401,Relay 2,A,I,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-136,55GAA0-PL-4401: YREM-CCC,55GAA0-PL-4401,Remote Start,A,I,P,0 +10V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-137,55GAA0-PL-4401: YREM-CCC,55GAA0-PL-4401,Remote Set Point,A,I,P,0 +10V,55GAA0-CU-7301,unconfirmed,,,,
